,song,low,high,super_high
0,新時代(ウタ from ONE PIECE FILM RED),2mid1E,3hiD,3hiF#
1,私は最強(ウタ from ONE PIECE FILM RED),2mid2A,3hiD,3hiE
2,逆光(ウタ from ONE PIECE FILM RED),2mid1G#,3hiC#,2mid2G#
3,ウタカタララバイ,2mid2A#,3hiD#,3hihiC#
4,うっせぇわ,2mid2A,3hiD#,3hiC
5,踊,2mid1F,3hiF,3hihiD#
6,会いたくて,2mid1F,3hiD,3hiF
7,夜のピエロ,2mid1G#,3hiC,3hiD#
8,レディメイド,2mid1C#,3hiD#,3hiD#
9,心という名の不可解,2mid1E,3hiF,3hiF
10,ギラギラ,2mid1F#,3hiD,3hiD#
11,阿修羅ちゃん,2mid1C#,3hiC#,
12,マザーランド,2mid1F#,3hiD#,3hiG#
13,Tot Musica,2mid1E,3hiD,
14,風のゆくえ,2mid1F,3hiD,2mid2F#
15,世界のつづき,2mid1E,3hiD,3hiE
16,永遠のあくる日,2mid1E,3hiD,3hiE
17,ドメスティックでバイオレンス,2mid1D,3hiC#,3hiA#
18,ラッキー・ブルート,2mid1F#,3hiC#,3hiC#
19,FREEDOM,2mid1F#,3hiE,3hiG
20,花火,2mid2A#,3hiA#,3hiD#
21,金木犀(feat. Ado),2mid1F,3hiB,3hiE
22,過学習,2mid1G#,3hiC,3hiE
23,千の夜をこえて,2mid1C#,3hiA#,
24,夏のかけら,2mid1E,2mid2F#,
25,決意の朝に,2mid1E,2mid2F#,
26,等身大のラブソング,2mid1F,2mid2G,
27,ALONES,2mid1G,2mid2G#,
28,虹,2mid1F,2mid2G#,
29,プルメリア 〜花唄〜,2mid1F#,3hiA,
30,生きて,2mid1F#,3hiA,
31,しおり,2mid1C,3hiA#,
32,小さな掌,2mid1F,2mid2G#,
33,MASK,2mid1D#,2mid2G#,
34,いつもいっしょ,2mid1D,3hiA#,
35,最後まで,2mid1G,3hiA,
36,STAY GOLD,2mid1E,2mid2G#,
37,Velonica,2mid1B,2mid2G,
38,最後までⅡ,2mid1F#,2mid2G#,
39,月のカーテン,2mid1B,3hiA,
40,平行世界,2mid1E,3hiA,
41,イヴの指輪,2mid1B,2mid2G,
42,風に吹かれて,2mid1D#,2mid2F#,
43,流星のうた,2mid1C#,3hiA#,
44,絵はがきの春,2mid1C#,2mid2G#,
45,薫,2mid1E,2mid2E,
46,静かなる恋の物語,2mid1F#,2mid2F#,
47,ねがお,2mid1F#,2mid2G#,
48,希望の咲く丘から,2mid1D,3hiA,
49,愛唄,2mid1D#,3hiC,
50,愛し君へ,2mid1C#,3hiC#,
51,キセキ,2mid1G,3hiA#,
52,星影のエール,2mid1C,3hiC,3hiC
53,相思相愛,2mid1B,3hiC#,2mid2G#
54,ボクたちの電光石火,2mid1E,3hiC#,
55,アイノカタチ,2mid1A,2mid2F,
56,歩み,2mid1G,3hiB,
57,忍,2mid1A#,3hiD#,
58,あの日のオレンジ,1lowG#,3hiC,
59,雨唄,2mid1A,3hiC,
60,イカロス,2mid1C,3hiD,
61,いつまでも,1lowF#,3hiC,3hiA#
62,おまじない,2mid1G,3hiA#,3hiA#
63,虹,2mid1B,3hiC#,
64,オレンジ,2mid1A,3hiC#,3hiA
65,フタリ,1lowG#,3hiC,
66,風,2mid1F,3hiC,
67,Green boys,2mid1E,3hiC#,
68,桜color,2mid1C#,3hiD#,
69,あいうえおんがく,2mid1G,3hiB,
70,アカリ,2mid1A#,3hiC,
71,君想い,1lowF#,3hiA,
72,U R not alone,2mid1D#,3hiC,
73,刹那,2mid1E,3hiA,
74,恋,2mid1B,3hiC#,
75,ビリーヴ,2mid1A#,3hiD,
76,卒業の唄〜アリガトウは何度も言わせて〜,1lowF#,3hiD#,3hiC#
77,ソラシド,1lowG#,3hiC,
78,空への手紙,2mid1D#,3hiB,
79,旅立ち,2mid1F#,2mid2G#,
80,手紙〜君たちへ〜,2mid1B,2mid2D#,
81,サヨナラから始めよう,1lowG#,3hiA#,
82,サヨナラ ありがとう,1lowG,3hiE,
83,扉,2mid1C#,3hiC,
84,夏の音,2mid1B,3hiC#,
85,涙空,2mid1A#,3hiC,
86,花唄,2mid1E,3hiA,
87,遥か,2mid1A,3hiC#,
88,春を待ちわびて,2mid1B,3hiC,
89,HEROES,1lowF#,3hiD,
90,人,1lowF,3hiB,
91,BE FREE,1lowG#,3hiA#,2mid2G#
92,ノスタルジア,2mid1C#,3hiC#,3hiC#
93,父母唄,2mid1D,2mid2E,
94,冬のある日の唄,1lowG,3hiB,
95,アメアガリ,2mid1A,3hiC,
96,pride,2mid1C#,3hiC#,
